[USER] I am looking for a restaurant. I would like something cheap that has Chinese food.  [SYSTEM] I've heard good things about the lucky star. Need a reservation? [END]
[SYSTEM] The booking was unsuccessful. Would like to book it at another time?  [USER] No. It needs to be t 17:00. Another restaurant in the same area and price range would work. [END]
[USER] No. It needs to be t 17:00. Another restaurant in the same area and price range would work.  [SYSTEM] Okay I booked you into the J Restaurant that also serves Asian food in the cheap price range and your reference number is 7MUMBMFD . [END]
[SYSTEM] Okay I booked you into the J Restaurant that also serves Asian food in the cheap price range and your reference number is 7MUMBMFD .  [USER] Thanks so much. That's all I needed. [END]
[USER] Thanks so much. That's all I needed.  [SYSTEM] You're welcome. Enjoy your day. [END]
[USER] Hello, I'm looking for an expensive restaurant located in the south part of town.  [SYSTEM] do you want particular food type? [END]
[SYSTEM] do you want particular food type?  [USER] I don't care [END]
[USER] I don't care  [SYSTEM] chiquito restaurant bar serves mexican food, in the expensive price range and in the south part of town [END]
[SYSTEM] chiquito restaurant bar serves mexican food, in the expensive price range and in the south part of town  [USER] Are there any other options? [END]
[USER] Are there any other options?  [SYSTEM] frankie and bennys serves italian food, in the expensive price range and it is in the south part of town, Is there anything else I can help you with? [END]
[SYSTEM] frankie and bennys serves italian food, in the expensive price range and it is in the south part of town, Is there anything else I can help you with?  [USER] Yes, please give me the phone number, address, and postcode. [END]
[USER] Yes, please give me the phone number, address, and postcode.  [SYSTEM] The address is Cambridge Leisure Park Clifton Way Cherry Hinton, the postcode is CB17DY, and the phone number is 01223 412430. [END]
[SYSTEM] The address is Cambridge Leisure Park Clifton Way Cherry Hinton, the postcode is CB17DY, and the phone number is 01223 412430.  [USER] What is the postcode again? [END]
[USER] What is the postcode again?  [SYSTEM] The postcode for frankie and bennys is C.B. 1 7 D.Y [END]
[SYSTEM] The postcode for frankie and bennys is C.B. 1 7 D.Y  [USER] Thank you, goodbye [END]
[USER] Thank you, goodbye  [SYSTEM] Have a nice day [END]
[USER] Is there an expensive restaurant serving caribbean food?  [SYSTEM] I'm sorry but there aren't any venues offering Caribbean food in the expensive price range. [END]
[SYSTEM] I'm sorry but there aren't any venues offering Caribbean food in the expensive price range.  [USER] How about thai? [END]
[USER] How about thai?  [SYSTEM] There's Bangkok City in the centre of town, and Sala Thong on the west side. [END]
[SYSTEM] There's Bangkok City in the centre of town, and Sala Thong on the west side.  [USER] Great, what is the address and phone number for bangkok city? [END]
[USER] Great, what is the address and phone number for bangkok city?  [SYSTEM] their phone number is 01223 354382 and address is 24 Green Street City Centre. [END]
[USER] I have to book a place to eat that serves irish food and is located in the centre, can you help me?  [SYSTEM] I am sorry there are no listings, would there be another area I can search for you? [END]
[SYSTEM] I am sorry there are no listings, would there be another area I can search for you?  [USER] How about a restaurant that serves gastropub food in the centre instead? [END]
[USER] How about a restaurant that serves gastropub food in the centre instead?  [SYSTEM] I have 3 restaurants. Two are expensive and one is moderate. Would you like me to book one for you? [END]
[SYSTEM] I have 3 restaurants. Two are expensive and one is moderate. Would you like me to book one for you?  [USER] Yes, can you see if the moderately priced one can accommodate a party of five at 16:45 on Sunday? [END]
[USER] Yes, can you see if the moderately priced one can accommodate a party of five at 16:45 on Sunday?  [SYSTEM] It can not, I am sorry. Shall I try another? [END]
[SYSTEM] It can not, I am sorry. Shall I try another?  [USER] Can I get another restaurant in the centre that is moderately priced? [END]
[USER] Can I get another restaurant in the centre that is moderately priced?  [SYSTEM] How about the Oak Bistro? It's a British restaurant in the centre, also moderately priced. [END]
[SYSTEM] How about the Oak Bistro? It's a British restaurant in the centre, also moderately priced.  [USER] That sounds amazing. Please try to book that for me. [END]
[USER] That sounds amazing. Please try to book that for me.  [SYSTEM] Your booking was successful. Your booking number was 13HISQU8 . Can I assist you with anything else today? [END]
[SYSTEM] Your booking was successful. Your booking number was 13HISQU8 . Can I assist you with anything else today?  [USER] No, that's all I needed. Have a nice day. [END]
[USER] No, that's all I needed. Have a nice day.  [SYSTEM] Thank you, you have a good day too. [END]
[USER] I am looking for a restaurant in the west part of town that is in the cheap price range.  [SYSTEM] There are two restaurants in the west part of town. What type of food are you interested in? [END]
[SYSTEM] There are two restaurants in the west part of town. What type of food are you interested in?  [USER] I don't care. Any type of food will be fine. [END]
[USER] I don't care. Any type of food will be fine.  [SYSTEM] there is prezzo which is italian at 21 - 24 Northampton Road, phone number is 01799 521260. [END]
[USER] I'm looking for a casual Sri Lankan restaurant.  [SYSTEM] Hi! Sorry, there are no Sri Lankan restaurants in the area. Can I do anything else for you? [END]
[SYSTEM] Hi! Sorry, there are no Sri Lankan restaurants in the area. Can I do anything else for you?  [USER] What about European? [END]
[USER] What about European?  [SYSTEM] There are 11 european restaurants, do you have any preferences on location or price range? [END]
[SYSTEM] There are 11 european restaurants, do you have any preferences on location or price range?  [USER] I need one in the moderate price range. [END]
[USER] I need one in the moderate price range.  [SYSTEM] I was able to find 5 for you. 3 serve modern european and the other 2 serve european. Do you have a preference? [END]
[SYSTEM] I was able to find 5 for you. 3 serve modern european and the other 2 serve european. Do you have a preference?  [USER] I don't have a preference. Surprise me. [END]
[USER] I don't have a preference. Surprise me.  [SYSTEM] How about Galleria? It serves classic European cuisine. Would you like me to book you a table? [END]
[SYSTEM] How about Galleria? It serves classic European cuisine. Would you like me to book you a table?  [USER] That sounds good. Do they have a table for 8 people at 18:15 on Saturday evening? If yes, please book and send the reference number. [END]
[USER] That sounds good. Do they have a table for 8 people at 18:15 on Saturday evening? If yes, please book and send the reference number.  [SYSTEM] I'm sorry the Galleria is not available . Shall I try another then? [END]
[SYSTEM] I'm sorry the Galleria is not available . Shall I try another then?  [USER] Yes, please. I need it to be in the same area and moderate price range. [END]
[USER] Yes, please. I need it to be in the same area and moderate price range.  [SYSTEM] I was able to book a table for you at hotel du vin and bistro. It's a moderately priced classic European restaurant. Your reference number is H7LU2IPF . [END]
[SYSTEM] I was able to book a table for you at hotel du vin and bistro. It's a moderately priced classic European restaurant. Your reference number is H7LU2IPF .  [USER] Great, thanks. I'm all through here. You've been a great help. [END]
[USER] Great, thanks. I'm all through here. You've been a great help.  [SYSTEM] I'm glad to have been of help. Thank you for using the Cambridge TownInfo centre. Have a wonderful day! [END]
[USER] looking for barbeque food.  [SYSTEM] There is not a barbeque restaurant listed. May I have you find a different restaurant? [END]
[SYSTEM] There is not a barbeque restaurant listed. May I have you find a different restaurant?  [USER] How about gastropub? [END]
[USER] How about gastropub?  [SYSTEM] There are four gastropub restaurants. I recommend the cow pizza kitchen and bar which is in the center and moderately priced. [END]
[SYSTEM] There are four gastropub restaurants. I recommend the cow pizza kitchen and bar which is in the center and moderately priced.  [USER] What is the address and phone number? [END]
[USER] What is the address and phone number?  [SYSTEM] Their address is Corn Exchange Street and their phone number is 01223 308871. [END]
[SYSTEM] Their address is Corn Exchange Street and their phone number is 01223 308871.  [USER] Thank you, goodbye. [END]
[USER] Thank you, goodbye.  [SYSTEM] Goodbye. [END]
[USER] Hello, I am looking for a moderately priced restaurant on the east side of town.  [SYSTEM] The Curry Prince in on the east side of town and is in the Moderate price range. [END]
[SYSTEM] The Curry Prince in on the east side of town and is in the Moderate price range.  [USER] What is there phone number? [END]
[USER] What is there phone number?  [SYSTEM] Their phone number is 01223 566388. [END]
[SYSTEM] Their phone number is 01223 566388.  [USER] Is there anything else I can help you with [END]
[USER] Is there anything else I can help you with  [SYSTEM] Is that all? [END]
[SYSTEM] Is that all?  [USER] Yes, that is all I needed to know. Thank you. [END]
[USER] Yes, that is all I needed to know. Thank you.  [SYSTEM] Thank you. [END]
[USER] I am looking for an expensive restaurant that serves russian food.  [SYSTEM] there is no expensive restaurant that serves russian food can I help you with anything else [END]
[SYSTEM] there is no expensive restaurant that serves russian food can I help you with anything else  [USER] Yes do you have british type food? [END]
[USER] Yes do you have british type food?  [SYSTEM] Yes, there are 6 options. Does the part of town matter? [END]
[SYSTEM] Yes, there are 6 options. Does the part of town matter?  [USER] I don't care. [END]
[USER] I don't care.  [SYSTEM] I could recommend Graffiti in the west.Would you like more information? [END]
[SYSTEM] I could recommend Graffiti in the west.Would you like more information?  [USER] May I have the phone number? [END]
[USER] May I have the phone number?  [SYSTEM] Their phone number is 01223 277977. Is there anything else I can help you with? [END]
[SYSTEM] Their phone number is 01223 277977. Is there anything else I can help you with?  [USER] Thank you goodbye. [END]
[USER] Thank you goodbye.  [SYSTEM] You're welcome. Good bye. [END]
[USER] I want to find an expensive restaurant  [SYSTEM] There are many expensive restaurants in town. Is there a particular area or type of food you are looking for? [END]
[SYSTEM] There are many expensive restaurants in town. Is there a particular area or type of food you are looking for?  [USER] Something in the South part of town would be great. Any cuisine is fine. [END]
[USER] Something in the South part of town would be great. Any cuisine is fine.  [SYSTEM] chiquito restaurant bar serves mexican food, is located in the south part of town, and is in the expensive price range. Would you like their location? [END]
[SYSTEM] chiquito restaurant bar serves mexican food, is located in the south part of town, and is in the expensive price range. Would you like their location?  [USER] Yes, please. [END]
[USER] Yes, please.  [SYSTEM] Chiquito restaurant bar is at 2G Cambridge Leisure Park Cherry Hinton Road Cherry Hinton. Do you need the phone number? [END]
[SYSTEM] Chiquito restaurant bar is at 2G Cambridge Leisure Park Cherry Hinton Road Cherry Hinton. Do you need the phone number?  [USER] Yes, please. [END]
[USER] Yes, please.  [SYSTEM] Their phone number is 01223 400170. [END]
[SYSTEM] Their phone number is 01223 400170.  [USER] Thank you goodbye. [END]
[USER] Thank you goodbye.  [SYSTEM] Thank you and have a great day! [END]
[USER] Hello, I am looking for a moderately priced restaurant on the east part of town.  [SYSTEM] Do you have a preference on type of food? [END]
[SYSTEM] Do you have a preference on type of food?  [USER] I don't care. [END]
[USER] I don't care.  [SYSTEM] there are three venues to choose from [END]
[SYSTEM] there are three venues to choose from  [USER] ok, what are they? [END]
[USER] ok, what are they?  [SYSTEM] curry prince and rajmahal which both serve indian food. And pizza hut fen ditton serves italian food. [END]
[SYSTEM] curry prince and rajmahal which both serve indian food. And pizza hut fen ditton serves italian food.  [USER] Could I get the address of one of them? [END]
[USER] Could I get the address of one of them?  [SYSTEM] Absolutely. Curry Prince's address is 451 Newmarket Road Fen Ditton. Is there anything else I can do for you? [END]
[SYSTEM] Absolutely. Curry Prince's address is 451 Newmarket Road Fen Ditton. Is there anything else I can do for you?  [USER] Thank you, goodbye. [END]
[USER] Thank you, goodbye.  [SYSTEM] Thank you for using the Cambridge restaurant system. Good bye. [END]
[USER] Yes, I'm looking for a moderately priced restaurant in the centre.  [SYSTEM] There are quite a few moderately priced restaurants in the centre of town. Do you have a food type preference? [END]
[SYSTEM] There are quite a few moderately priced restaurants in the centre of town. Do you have a food type preference?  [USER] No, maybe you could book me at your favorite for Saturday? There will be 8 of us, at 17:30. [END]
[USER] No, maybe you could book me at your favorite for Saturday? There will be 8 of us, at 17:30.  [SYSTEM] Well, my personal favorite is Copper Kettle. I've booked you a table for 8 on Saturday at 17:30. Your reference number is LSQYZI7O . [END]
[SYSTEM] Well, my personal favorite is Copper Kettle. I've booked you a table for 8 on Saturday at 17:30. Your reference number is LSQYZI7O .  [USER] Great, thanks so much! [END]
[USER] Great, thanks so much!  [SYSTEM] You're welcome. Do you need anymore assistance today? [END]
[SYSTEM] You're welcome. Do you need anymore assistance today?  [USER] No that was all I needed thanks for the help. Have a great day. [END]
[USER] No that was all I needed thanks for the help. Have a great day.  [SYSTEM] Thank you, enjoy your visit, goodbye! [END]
[USER] Hi! I'm looking for information on the Rice House restaurant.  [SYSTEM] The phone number is 01223367755. Is there anything else I can help you with? [END]
[SYSTEM] The phone number is 01223367755. Is there anything else I can help you with?  [USER] Yes, I'll also need their address please. [END]
[USER] Yes, I'll also need their address please.  [SYSTEM] They are located at 88 Mill Road City Centre. [END]
[SYSTEM] They are located at 88 Mill Road City Centre.  [USER] Great, thank you. Thanks for the info. Have a good rest of your day. [END]
[USER] Great, thank you. Thanks for the info. Have a good rest of your day.  [SYSTEM] You're welcome, is there anything else you need? [END]
[SYSTEM] You're welcome, is there anything else you need?  [USER] No, I have all the information I need. Thank you. [END]
[USER] No, I have all the information I need. Thank you.  [SYSTEM] Thank you for using this system! [END]
[USER] Hello! I would like to go to a restaurant in the east, please.  [SYSTEM] There are nine restaurants in the east. Do you want a certain price range? [END]
[SYSTEM] There are nine restaurants in the east. Do you want a certain price range?  [USER] Moderate price please [END]
[USER] Moderate price please  [SYSTEM] I have two Indian Restaurants and one Italian restaurant. Do you have a preference? [END]
[SYSTEM] I have two Indian Restaurants and one Italian restaurant. Do you have a preference?  [USER] I would like to try the Italian one. What is the restaurant's name, please? [END]
[USER] I would like to try the Italian one. What is the restaurant's name, please?  [SYSTEM] It is Pizza Hut Fen Ditton. [END]
[SYSTEM] It is Pizza Hut Fen Ditton.  [USER] Can i get the address, postcode too, please? [END]
[USER] Can i get the address, postcode too, please?  [SYSTEM] The address is Cambridge Retail Park Newmarket Road Fen Ditton, postcode cb58wr. Anything else? [END]
[SYSTEM] The address is Cambridge Retail Park Newmarket Road Fen Ditton, postcode cb58wr. Anything else?  [USER] Thanks a lot that would be all. [END]
[USER] Thanks a lot that would be all.  [SYSTEM] You are welcome, enjoy your stay in Cambridge. [END]
[USER] Hello, I am looking for an expensive restaurant that serves fusion food.  [SYSTEM] I'm sorry, there are no fusion restaurants listed in the cheap price range. Would you like to try something else? [END]
[SYSTEM] I'm sorry, there are no fusion restaurants listed in the cheap price range. Would you like to try something else?  [USER] How about mediterranean food? [END]
[USER] How about mediterranean food?  [SYSTEM] There are two restaurants serving Mediterranean food in the expensive price range. Your options are La mimosa or Shiraz restaurant. [END]
[SYSTEM] There are two restaurants serving Mediterranean food in the expensive price range. Your options are La mimosa or Shiraz restaurant.  [USER] What is the address and phone number of one of them? [END]
[USER] What is the address and phone number of one of them?  [SYSTEM] La Mimosa's address is Thompsons Lane Fen Ditton, phone number 01223362525. [END]
[SYSTEM] La Mimosa's address is Thompsons Lane Fen Ditton, phone number 01223362525.  [USER] Thank you goodbye. [END]
[USER] Thank you goodbye.  [SYSTEM] You're welcome, goodbye. [END]
[USER] I would like to book a popular, cheap restaurant.  [SYSTEM] Do you have a specific area in mind? [END]
[SYSTEM] Do you have a specific area in mind?  [USER] I'm sorry I need to find the information for Parkside Police Station. [END]
[USER] I'm sorry I need to find the information for Parkside Police Station.  [SYSTEM] Sure, the telephone number is 01223358966, the address is Parkside, Cambridge and the postcode is CB11JG. [END]
[SYSTEM] Sure, the telephone number is 01223358966, the address is Parkside, Cambridge and the postcode is CB11JG.  [USER] That was all. Thanks [END]
[USER] That was all. Thanks  [SYSTEM] Please let us know if we can help any further. Have a nice day! [END]
[USER] Can you help me find a place to eat that serves unusual food in the centre?  [SYSTEM] There are no restaurants that serve unusual food in the centre. Would you like to search a different area? [END]
[SYSTEM] There are no restaurants that serve unusual food in the centre. Would you like to search a different area?  [USER] How about british? [END]
[USER] How about british?  [SYSTEM] There are seven British restaurants in the center. Four are moderately priced and three are expensive. What is your preference, please? [END]
[SYSTEM] There are seven British restaurants in the center. Four are moderately priced and three are expensive. What is your preference, please?  [USER] Moderate sounds good. Can you book a table at any one of the 4 for 8 people on Monday at 18:00? [END]
[USER] Moderate sounds good. Can you book a table at any one of the 4 for 8 people on Monday at 18:00?  [SYSTEM] I got a table for you at cotto. Your reference number is GA03MU3U . Is there anything else I can help you with? [END]
[SYSTEM] I got a table for you at cotto. Your reference number is GA03MU3U . Is there anything else I can help you with?  [USER] Great! Thank you for the reference number GA03MU3U. Goodbye. [END]
[USER] Great! Thank you for the reference number GA03MU3U. Goodbye.  [SYSTEM] You're very welcome. Goodbye! [END]
[USER] I'm looking for a restaurant, something moderately priced.  [SYSTEM] There are five restaurants in the moderate price range. They sever british and asian oriental, which are you looking for? [END]
[SYSTEM] There are five restaurants in the moderate price range. They sever british and asian oriental, which are you looking for?  [USER] iam looking for something asian oriental and not so expensive restaurant. [END]
[USER] iam looking for something asian oriental and not so expensive restaurant.  [SYSTEM] I have the Yippee Noodle Bar that meets your criteria. Would you like me to make a reservation for you? [END]
[SYSTEM] I have the Yippee Noodle Bar that meets your criteria. Would you like me to make a reservation for you?  [USER] That would be great. I need to for 2 people at 13:00 on Tuesday. Can you provide the reference number for the reservation? [END]
[USER] That would be great. I need to for 2 people at 13:00 on Tuesday. Can you provide the reference number for the reservation?  [SYSTEM] Here is the reference number: MVMT06FY [END]
[SYSTEM] Here is the reference number: MVMT06FY  [USER] Thank you, that's all I need. Good bye. [END]
[USER] Thank you, that's all I need. Good bye.  [SYSTEM] You're welcome. Have a wonderful day. Goodbye. [END]
[USER] Hello, I am looking for a restaurant that serves vegetarian food.  [SYSTEM] There are no restaurants serving vegetarian food. [END]
[SYSTEM] There are no restaurants serving vegetarian food.  [USER] How about turkish food? [END]
[USER] How about turkish food?  [SYSTEM] Three restaurants serve Turkish food. Do you have a price preference? [END]
[SYSTEM] Three restaurants serve Turkish food. Do you have a price preference?  [USER] I do not care [END]
[USER] I do not care  [SYSTEM] Anatolia is a turkish restaurant, in the moderate price range and in the centre of town. Do you want the address and phone number? [END]
[SYSTEM] Anatolia is a turkish restaurant, in the moderate price range and in the centre of town. Do you want the address and phone number?  [USER] Address, please. [END]
[USER] Address, please.  [SYSTEM] Anatolia is located at 30 Bridge Street City Centre. [END]
[SYSTEM] Anatolia is located at 30 Bridge Street City Centre.  [USER] Thank you goodbye [END]
[USER] Thank you goodbye  [SYSTEM] You're welcome. Goodbye. [END]
[USER] I am looking for a restaurant in the cheap price range that serves British food.  [SYSTEM] I am sorry there are no restaurants that meet those requirements. Would you like to try another type of food? [END]
[SYSTEM] I am sorry there are no restaurants that meet those requirements. Would you like to try another type of food?  [USER] What British restaurants are available in the centre to choose from? I'd like to book a table at 17:15 for one on Saturday. [END]
[USER] What British restaurants are available in the centre to choose from? I'd like to book a table at 17:15 for one on Saturday.  [SYSTEM] I can book a table for you at the oak bistro. They are moderately priced and you won't be disappointed [END]
[SYSTEM] I can book a table for you at the oak bistro. They are moderately priced and you won't be disappointed  [USER] Sounds great - can you book a table there? [END]
[USER] Sounds great - can you book a table there?  [SYSTEM] Absolutely! For how many people and what day/time? [END]
[SYSTEM] Absolutely! For how many people and what day/time?  [USER] Just myself. I'd like to eat at 17:15 on Saturday. [END]
[USER] Just myself. I'd like to eat at 17:15 on Saturday.  [SYSTEM] The British places are all booked up then. Another time or place? [END]
[SYSTEM] The British places are all booked up then. Another time or place?  [USER] How about 16:15 instead? [END]
[USER] How about 16:15 instead?  [SYSTEM] Booking was successful. The table will be reserved for 15 minutes. Reference number is : 8SS1T80V . [END]
[USER] I need to find a restaurant in anatolia  [SYSTEM] Okay Anatolia is a turkish restaurant located in the centre. Is this what you're looking for? [END]
[SYSTEM] Okay Anatolia is a turkish restaurant located in the centre. Is this what you're looking for?  [USER] Yes. I need a reservation for 8 people please. [END]
[USER] Yes. I need a reservation for 8 people please.  [SYSTEM] I can make a reservation for 8 people for Monday at 17:45. Is that okay or would you like another day? [END]
[SYSTEM] I can make a reservation for 8 people for Monday at 17:45. Is that okay or would you like another day?  [USER] I need a reservation for 8 people at 13:00 on Friday. If that doesn't work I can also do Tuesday. I will also need a reference number. [END]
[USER] I need a reservation for 8 people at 13:00 on Friday. If that doesn't work I can also do Tuesday. I will also need a reference number.  [SYSTEM] Reservations for Friday at 13:00. Your reference number is 0UAYWI5Z . Is there anything else I can assist you with? [END]
[SYSTEM] Reservations for Friday at 13:00. Your reference number is 0UAYWI5Z . Is there anything else I can assist you with?  [USER] No that was it, thank you. [END]
[USER] No that was it, thank you.  [SYSTEM] Thank you, goodbye. [END]
[USER] Is it possible to get any Greek food in the centre part of town?  [SYSTEM] Sorry, I'm showing no results for Greek restaurants. Any other foods you'd like to have? [END]
[SYSTEM] Sorry, I'm showing no results for Greek restaurants. Any other foods you'd like to have?  [USER] What about Chinese food? [END]
[USER] What about Chinese food?  [SYSTEM] Charlie Chan has some great reviews. [END]
[SYSTEM] Charlie Chan has some great reviews.  [USER] book a table for 8 people at 19:00 on wednesday. [END]
[USER] book a table for 8 people at 19:00 on wednesday.  [SYSTEM] Your booking was successful. The table will be reserved for 15 minutes. Reference number is : 1J6Y65LW . [END]
[SYSTEM] Your booking was successful. The table will be reserved for 15 minutes. Reference number is : 1J6Y65LW .  [USER] Thanks, that's all. Good bye. [END]
[USER] Thanks, that's all. Good bye.  [SYSTEM] Thank you for using our services. [END]
[USER] I am looking for a cuban restaurant in the north part of town.  [SYSTEM] I am sorry, I could not find any Cuban restaurants for you in the north part of town. Is there a different type of food you would like me to search for instead? [END]
[SYSTEM] I am sorry, I could not find any Cuban restaurants for you in the north part of town. Is there a different type of food you would like me to search for instead?  [USER] I still want the north part of town, but look for Asian Oriental food instead please. [END]
[USER] I still want the north part of town, but look for Asian Oriental food instead please.  [SYSTEM] Saigon City is located in the north part of town and serves Asian Oriental food. Would you like their address? [END]
[SYSTEM] Saigon City is located in the north part of town and serves Asian Oriental food. Would you like their address?  [USER] Yes, I would like their address and phone number, please. [END]
[USER] Yes, I would like their address and phone number, please.  [SYSTEM] The phone number for saigon city is 01223 356555 and their address is 169 High Street Chesterton Chesterton. Would you like anything else? [END]
[SYSTEM] The phone number for saigon city is 01223 356555 and their address is 169 High Street Chesterton Chesterton. Would you like anything else?  [USER] No, that does it. Thank you and goodbye! [END]
[USER] No, that does it. Thank you and goodbye!  [SYSTEM] Thank you for using this system. Goodbye. [END]
[USER] I am looking for a particular restaurant. It is called pizza hut city centre.  [SYSTEM] It's a cheap italian place in the centre at Regent Street City Centre cb21ab. The phone number is 01223323737. Would you like more info? [END]
[SYSTEM] It's a cheap italian place in the centre at Regent Street City Centre cb21ab. The phone number is 01223323737. Would you like more info?  [USER] That sounds like just the place! Can you book me a table for 2 at 19:45 on Thursday? [END]
[USER] That sounds like just the place! Can you book me a table for 2 at 19:45 on Thursday?  [SYSTEM] You're all set. I've got a table for 2 at 19:45 this Thursday. Your reference number is F3K2PQZZ . [END]
[SYSTEM] You're all set. I've got a table for 2 at 19:45 this Thursday. Your reference number is F3K2PQZZ .  [USER] Ok sounds good. Thank you! [END]
[USER] Ok sounds good. Thank you!  [SYSTEM] You are welcome. Is there anything else I can assist you with today? [END]
[SYSTEM] You are welcome. Is there anything else I can assist you with today?  [USER] That is all. Thank you for your help! [END]
[USER] That is all. Thank you for your help!  [SYSTEM] You're welcome. Have a great day. [END]
[USER] I want to find an expensive restaurant in the east part of town. What is the phone number and type of food?  [SYSTEM] grafton hotel restaurant serves british food, is in the east part of town and in the expensive price range. Their phone number is 01223 241387 [END]
[SYSTEM] grafton hotel restaurant serves british food, is in the east part of town and in the expensive price range. Their phone number is 01223 241387  [USER] Ok, thank you. [END]
[USER] Ok, thank you.  [SYSTEM] You're welcome. [END]
[USER] I would like a restaurant in the east part of town that serves british food  [SYSTEM] There is one british restaurant in the east part of town called grafton hotel restaurant. Would you like the phone number? [END]
[SYSTEM] There is one british restaurant in the east part of town called grafton hotel restaurant. Would you like the phone number?  [USER] Yes, please along with the phone number and the post code. Thanks. [END]
[USER] Yes, please along with the phone number and the post code. Thanks.  [SYSTEM] It's located at the Grafton Hotel restaurant. The phone number is 01223 241387, and the postal code is C.B 5, 8 P.A. [END]
[SYSTEM] It's located at the Grafton Hotel restaurant. The phone number is 01223 241387, and the postal code is C.B 5, 8 P.A.  [USER] Wonderful, thank you. [END]
[USER] Wonderful, thank you.  [SYSTEM] No problem, have a good time. Good bye. [END]
[USER] I am looking for Korean food, in the Centre of town.  [SYSTEM] There is one Korean restaurant in the centre, Little Seoul. Would you like the address and phone number? [END]
[SYSTEM] There is one Korean restaurant in the centre, Little Seoul. Would you like the address and phone number?  [USER] Is it in the expensive price range? [END]
[USER] Is it in the expensive price range?  [SYSTEM] Yes, it is expensive. Are you interested in booking a table there? [END]
[SYSTEM] Yes, it is expensive. Are you interested in booking a table there?  [USER] Yes book a table, thank you. [END]
[USER] Yes book a table, thank you.  [SYSTEM] Can you please give me a day and time that you would like to book a table for? [END]
[SYSTEM] Can you please give me a day and time that you would like to book a table for?  [USER] 13:45 on monday and a table for 7 please. I will need a reference number too. [END]
[USER] 13:45 on monday and a table for 7 please. I will need a reference number too.  [SYSTEM] Booking was unsuccessful. Do you have a different time preference? [END]
[SYSTEM] Booking was unsuccessful. Do you have a different time preference?  [USER] No. How about finding another restaurant in the same area and price range. [END]
[USER] No. How about finding another restaurant in the same area and price range.  [SYSTEM] How about Kymmoy? It's an Asian restaurant in Expensive price range, located in Centre area. [END]
[SYSTEM] How about Kymmoy? It's an Asian restaurant in Expensive price range, located in Centre area.  [USER] Sure, try booking that one for the same people, date, and time, please. [END]
[USER] Sure, try booking that one for the same people, date, and time, please.  [SYSTEM] I've booked your table for 7 people on Monday at 13:45 at Kymmoy. Your reference number is 1MS5BUU6 . Is there anything else I can help you with today? [END]
[SYSTEM] I've booked your table for 7 people on Monday at 13:45 at Kymmoy. Your reference number is 1MS5BUU6 . Is there anything else I can help you with today?  [USER] No, that's all I need. Thank you for your assistance! [END]
[USER] No, that's all I need. Thank you for your assistance!  [SYSTEM] I was happy to help, enjoy your meal. [END]
[USER] I need a restaurant that serves european food please  [SYSTEM] What area are you looking for? [END]
[SYSTEM] What area are you looking for?  [USER] Anything in the area would be fine [END]
[USER] Anything in the area would be fine  [SYSTEM] Galleria is a nice restaurant serving European food, is in the centre of town and is moderately priced. [END]
[SYSTEM] Galleria is a nice restaurant serving European food, is in the centre of town and is moderately priced.  [USER] I am looking for something in the expensive price range. [END]
[USER] I am looking for something in the expensive price range.  [SYSTEM] I'm sorry there is no one serving european food in the expensive price range [END]
[USER] I need assistance finding a restaurant that is cheap and serves british food, can you help me?  [SYSTEM] I am sorry, I do not have any cheaply priced British restaurants in the city. Would you like a different type of food or maybe a different price range? [END]
[SYSTEM] I am sorry, I do not have any cheaply priced British restaurants in the city. Would you like a different type of food or maybe a different price range?  [USER] Do you have any Asian Oriental restaurants in the same price range? [END]
[USER] Do you have any Asian Oriental restaurants in the same price range?  [SYSTEM] Yes I found 2 cheap asian oriental places to eat. The dojo noodle bar and j restaurant. Would you like me to book a table for you? [END]
[SYSTEM] Yes I found 2 cheap asian oriental places to eat. The dojo noodle bar and j restaurant. Would you like me to book a table for you?  [USER] Yes. Please book me a table at the dojo noodle bar for 7 people at 19:00 on wednesday. [END]
[USER] Yes. Please book me a table at the dojo noodle bar for 7 people at 19:00 on wednesday.  [SYSTEM] I couldn't get you a table at Dojo, I can get you one at J Restaurant, if you want? [END]
[SYSTEM] I couldn't get you a table at Dojo, I can get you one at J Restaurant, if you want?  [USER] That works. Same parameters, please. I need the reference number too. [END]
[USER] That works. Same parameters, please. I need the reference number too.  [SYSTEM] Booked! Your table will be reserved for 15 minutes. Reference number: F10EIGQ3 . [END]
[SYSTEM] Booked! Your table will be reserved for 15 minutes. Reference number: F10EIGQ3 .  [USER] Great thank you for all your help. [END]
[USER] Great thank you for all your help.  [SYSTEM] Do you need anything else? [END]
[SYSTEM] Do you need anything else?  [USER] That was all thank you. [END]
[USER] That was all thank you.  [SYSTEM] Okay great. Thanks for calling and enjoy your dinner. [END]
[USER] I'd like to find an expensive restaurant in the north part of town.  [SYSTEM] There are many restaurants in the North that match your description, what type of cuisine are you interested in? [END]
[SYSTEM] There are many restaurants in the North that match your description, what type of cuisine are you interested in?  [USER] The restaurant should serve asian oriental food. [END]
[USER] The restaurant should serve asian oriental food.  [SYSTEM] I have one restaurant called saigon city on 169 high street chesterton chesterton. Would you like me to book for you? [END]
[SYSTEM] I have one restaurant called saigon city on 169 high street chesterton chesterton. Would you like me to book for you?  [USER] Yes, I would like to be booked for a table for 8 on 19:45 on a Saturday, and could I also get the reference number? [END]
